category,color,currentTrial,currentBlock,subject,curID,colorname
Pink,356,4,1,36,27244,pink
Brown,72,5,1,36,27244,brown
Red,36,6,1,36,27244,red
Orange,50,7,1,36,27244,orange
Pink,339,0,0,37,27261,pink
Blue,230,1,0,37,27261,blue
Green,171,2,0,37,27261,green
Yellow,103,3,0,37,27261,yellow
Brown,87,4,0,37,27261,brown
Purple,272,5,0,37,27261,purple
Orange,66,6,0,37,27261,orange
Red,37,7,0,37,27261,red
Yellow,96,0,1,37,27261,yellow
Green,184,1,1,37,27261,green
Orange,67,2,1,37,27261,orange
Blue,243,3,1,37,27261,blue
Purple,277,4,1,37,27261,purple
Red,45,5,1,37,27261,red
Brown,76,6,1,37,27261,brown
Pink,332,7,1,37,27261,pink
Red,37,0,0,38,27344,red
Blue,228,1,0,38,27344,blue
Brown,106,2,0,38,27344,brown
Green,157,3,0,38,27344,green
Purple,284,4,0,38,27344,purple
Yellow,99,5,0,38,27344,yellow
Orange,71,6,0,38,27344,orange
Pink,344,7,0,38,27344,pink
Purple,283,0,1,38,27344,purple
Blue,240,1,1,38,27344,blue
Brown,108,2,1,38,27344,brown
Yellow,100,3,1,38,27344,yellow
Orange,70,4,1,38,27344,orange
Pink,344,5,1,38,27344,pink
Red,28,6,1,38,27344,red
Green,160,7,1,38,27344,green
Orange,62,0,0,39,27376,orange
Yellow,84,1,0,39,27376,yellow
Pink,340,2,0,39,27376,pink
Purple,268,3,0,39,27376,purple
Brown,98,4,0,39,27376,brown
Red,45,5,0,39,27376,red
Green,162,6,0,39,27376,green
Blue,234,7,0,39,27376,blue
Orange,63,0,1,39,27376,orange
Yellow,73,1,1,39,27376,yellow
Blue,246,2,1,39,27376,blue
Purple,272,3,1,39,27376,purple
Red,32,4,1,39,27376,red
Brown,99,5,1,39,27376,brown
Green,173,6,1,39,27376,green
Pink,347,7,1,39,27376,pink
Blue,205,0,0,40,27437,blue
Red,35,1,0,40,27437,red
Brown,90,2,0,40,27437,brown
Purple,269,3,0,40,27437,purple
Pink,312,4,0,40,27437,pink
Green,176,5,0,40,27437,green
Yellow,114,6,0,40,27437,yellow
Orange,70,7,0,40,27437,orange
Purple,284,0,1,40,27437,purple
Orange,70,1,1,40,27437,orange
Brown,95,2,1,40,27437,brown
Blue,235,3,1,40,27437,blue
Pink,317,4,1,40,27437,pink
Yellow,114,5,1,40,27437,yellow
Red,44,6,1,40,27437,red
Green,154,7,1,40,27437,green
Purple,288,0,0,41,27471,purple
Yellow,92,1,0,41,27471,yellow
Blue,236,2,0,41,27471,blue
Red,36,3,0,41,27471,red
Brown,96,4,0,41,27471,brown
Green,163,5,0,41,27471,green
Pink,346,6,0,41,27471,pink
Orange,66,7,0,41,27471,orange
Purple,276,0,1,41,27471,purple
Orange,80,1,1,41,27471,orange
Pink,5,2,1,41,27471,pink
Green,167,3,1,41,27471,green
Brown,91,4,1,41,27471,brown
Red,43,5,1,41,27471,red
Yellow,101,6,1,41,27471,yellow
Blue,223,7,1,41,27471,blue
Blue,243,0,0,42,27488,blue
Yellow,105,1,0,42,27488,yellow
Red,46,2,0,42,27488,red
Brown,71,3,0,42,27488,brown
Orange,67,4,0,42,27488,orange
Purple,297,5,0,42,27488,purple
Pink,1,6,0,42,27488,pink
Green,135,7,0,42,27488,green
Brown,106,0,1,42,27488,brown
Yellow,99,1,1,42,27488,yellow
Red,44,2,1,42,27488,red
Purple,264,3,1,42,27488,purple
Pink,357,4,1,42,27488,pink
Orange,53,5,1,42,27488,orange
Green,166,6,1,42,27488,green
Blue,229,7,1,42,27488,blue
Brown,101,0,0,43,27620,brown
Orange,67,1,0,43,27620,orange
Purple,274,2,0,43,27620,purple
Red,37,3,0,43,27620,red
Blue,230,4,0,43,27620,blue
Yellow,85,5,0,43,27620,yellow
Green,149,6,0,43,27620,green
Pink,317,7,0,43,27620,pink
Blue,235,0,1,43,27620,blue
Brown,109,1,1,43,27620,brown
Purple,270,2,1,43,27620,purple
Yellow,112,3,1,43,27620,yellow
Orange,69,4,1,43,27620,orange
Pink,322,5,1,43,27620,pink
Green,150,6,1,43,27620,green
Red,31,7,1,43,27620,red
Brown,90,0,0,44,27805,brown
Pink,327,1,0,44,27805,pink
Orange,56,2,0,44,27805,orange
Purple,295,3,0,44,27805,purple
Green,170,4,0,44,27805,green
Red,29,5,0,44,27805,red
Yellow,110,6,0,44,27805,yellow
Blue,245,7,0,44,27805,blue
Orange,82,0,1,44,27805,orange
Brown,98,1,1,44,27805,brown
Pink,328,2,1,44,27805,pink
Green,165,3,1,44,27805,green
Red,37,4,1,44,27805,red
Yellow,116,5,1,44,27805,yellow
Blue,239,6,1,44,27805,blue
Purple,280,7,1,44,27805,purple
Purple,295,0,0,45,27814,purple
Orange,63,1,0,45,27814,orange
Red,39,2,0,45,27814,red
Yellow,83,3,0,45,27814,yellow
Brown,69,4,0,45,27814,brown
Green,148,5,0,45,27814,green
Blue,220,6,0,45,27814,blue
Pink,357,7,0,45,27814,pink
Orange,61,0,1,45,27814,orange
Green,152,1,1,45,27814,green
Pink,337,2,1,45,27814,pink
Blue,212,3,1,45,27814,blue
Red,37,4,1,45,27814,red
Purple,283,5,1,45,27814,purple
Yellow,91,6,1,45,27814,yellow
Brown,88,7,1,45,27814,brown
Purple,290,0,0,46,27855,purple
Green,170,1,0,46,27855,green
Brown,107,2,0,46,27855,brown
Orange,49,3,0,46,27855,orange
Red,36,4,0,46,27855,red
Yellow,96,5,0,46,27855,yellow
Pink,2,6,0,46,27855,pink
Blue,240,7,0,46,27855,blue
Orange,46,0,1,46,27855,orange
Purple,269,1,1,46,27855,purple
Blue,234,2,1,46,27855,blue
Pink,349,3,1,46,27855,pink
Brown,99,4,1,46,27855,brown
Red,47,5,1,46,27855,red
Green,166,6,1,46,27855,green
Yellow,111,7,1,46,27855,yellow
Yellow,100,0,0,47,28045,yellow
Orange,72,1,0,47,28045,orange
Red,40,2,0,47,28045,red
Blue,230,3,0,47,28045,blue
Green,164,4,0,47,28045,green
Pink,344,5,0,47,28045,pink
Purple,291,6,0,47,28045,purple
Brown,88,7,0,47,28045,brown
Red,32,0,1,47,28045,red
Orange,61,1,1,47,28045,orange
Brown,77,2,1,47,28045,brown
Yellow,87,3,1,47,28045,yellow
Blue,239,4,1,47,28045,blue
Green,176,5,1,47,28045,green
Pink,349,6,1,47,28045,pink
Purple,295,7,1,47,28045,purple
Brown,98,0,0,48,28203,brown
Red,42,1,0,48,28203,red
Yellow,111,2,0,48,28203,yellow
Green,149,3,0,48,28203,green
Purple,297,4,0,48,28203,purple
Blue,231,5,0,48,28203,blue
Orange,77,6,0,48,28203,orange
Pink,351,7,0,48,28203,pink
Pink,345,0,1,48,28203,pink
Brown,91,1,1,48,28203,brown
Blue,229,2,1,48,28203,blue
Orange,65,3,1,48,28203,orange
Green,148,4,1,48,28203,green
Purple,296,5,1,48,28203,purple
Red,29,6,1,48,28203,red
Yellow,114,7,1,48,28203,yellow
Orange,81,0,0,49,28236,orange
Blue,235,1,0,49,28236,blue
Brown,96,2,0,49,28236,brown
Pink,340,3,0,49,28236,pink
Yellow,114,4,0,49,28236,yellow
Purple,285,5,0,49,28236,purple
Red,37,6,0,49,28236,red
Green,152,7,0,49,28236,green
Purple,271,0,1,49,28236,purple
Blue,237,1,1,49,28236,blue
Red,33,2,1,49,28236,red
Brown,100,3,1,49,28236,brown
Yellow,114,4,1,49,28236,yellow
Pink,353,5,1,49,28236,pink
Green,153,6,1,49,28236,green
Orange,70,7,1,49,28236,orange
Brown,91,0,0,50,29020,brown
Yellow,87,1,0,50,29020,yellow
Pink,334,2,0,50,29020,pink
Purple,277,3,0,50,29020,purple
Red,36,4,0,50,29020,red
Green,159,5,0,50,29020,green
Blue,228,6,0,50,29020,blue
Orange,65,7,0,50,29020,orange
Pink,335,0,1,50,29020,pink
